Country,Authors,Year,Title,Journal or book,Volume,Pages,Theory,Practice,Water,Energy,Financial,Environment,Mining,Industrial,Services/Public,Procurement,Health,Transport,Other
IR,"Roodposhti, M.S., Rahimi, S., Beglou, M.J.",2014,PROMETHEE II and fuzzy AHP: An enhanced GIS-based landslide susceptibility mapping.,Natural Hazards,73(1),77-95,0,1,0,0,0,1,0,0,0,0,0,0,0
IR,"Roozbahani, A., Ebrahimi, E., Banihabib, M.E.",2018,A Framework for Ground Water Management Based on Bayesian Network and MCDM Techniques.,Water Resources Management,32(15),4985-5005.,1,1,1,0,0,0,0,0,0,0,0,0,0
IR,"Roozbahani, A., Zahraie, B., Tabesh, M.",2012,PROMETHEE with Precedence Order in the Criteria (PPOC) as a New Group Decision Making Aid: An Application in Urban Water Supply Management.,Water Resources Management,26(12),3581-3599.,1,1,1,0,0,0,0,0,0,0,0,0,0
IN,"Roseline, S., Paramasivam, V., Anandhakrishnan, R., Lakshminarayan, P.R.",2018,Numerical evaluation of zirconium reinforced aluminium matrix composites for sustainable environment.,Annals of Operations Research,in Press,.,0,1,0,0,0,1,0,1,0,0,0,0,0
RS,"Rosic, M., Pesic, D., Kukic, D., Antic, B., Bozovic, M",2017,Method for selection of optimal road safety composite index with examples from DEA and TOPSIS method.,Accident Analysis and Prevention,98,277-286.,0,1,0,0,0,0,0,0,0,0,0,1,0
DZ,"Rouba, B., Bahloul, S.N.",2014,A Multicriteria Clustering Approach Based on Similarity Indices and Clustering Ensemble Techniques.,International Journal of Information Technology & Decision Making,13(4),811-837.,1,0,0,0,0,0,0,0,0,0,0,0,0
CA,"Roué-Legall, A., Lucotte, M., Carreau, J., Canuel, R, Garcia, E.",2006,Development of an ecosystem sensitivity model regarding mercury levels in fish using a preference modeling methodology: application to the Canadian boreal system., Environmental Science and Technology, 39(24), 9412–9423.,0,1,0,0,0,1,0,0,0,0,0,0,0
GR,"Rousis, K., Moustakas, K., Malamis, S., Papadopoulos, A., Loizidou, M.",2008,Multicriteria analysis for the determination of the best WEEE management scenario in Cyprus., Waste Management, 28(10), 1941–1954.,0,1,0,0,0,1,0,0,0,0,0,0,0
BE,"Roux, O., Duvivier, D., Dhaevers, V., Meskens, N., Artiba, A.",2008,Multicriteria approach to rank scheduling strategies., International Journal of Production Economics, 112(11), 192–201.,0,1,0,0,0,0,0,1,0,0,0,0,0
AU,"Rowley, H.V., Peters, G.M., Lundie, S., Moore, S.J.",2012,Aggregating sustainability indicators: Beyond the weighted sum., Journal of Environmental Management,111,24-33.,0,1,0,0,0,1,0,0,0,0,0,0,0
FR,"Roy, B., Vanderpooten, D.",1996,"The European school of MCDA: Emergence, basic features and current works.", Journal of Multi-Criteria Decision Analysis, 5(1), 22–38.,1,0,0,0,0,0,0,0,0,0,0,0,0
IN,"Roy, S., Mohanty, S.",2018,An Efficient Hybrid MCDM Based Approach for Car Selection in Automobile Industry.,3rd IEEE International Conference on Research in Intelligent and Computing in Engineering,2018,.,0,1,0,0,0,0,0,1,0,0,0,0,0
BD,"Roy, S.A., Ali, S.M., Kabir, G., Enayet, R., Suhi, S.A., Haque, T., Hasan, R.",2020,A framework for sustainable supplier selection with transportation criteria.,International Journal of Sustainable Engineering,13(2),77-92.,0,1,0,0,0,0,0,0,0,1,0,0,0
HR,"Rozic, T., Ogrizovic, D., Galic, M.",2016,Decision making background for the location of inland terminals.,Scientific Journal of Maritime Research,30(2),141-150.,0,1,0,0,0,0,0,0,0,0,0,1,0
